date,Volume,RAT
2013-05-12,1.0,LTE
2013-05-13,6.0,LTE
2013-05-14,0.0,LTE
2013-05-15,1.0,LTE
2013-05-16,1.0,LTE
2013-05-17,2.0,LTE
2013-05-18,1.0,LTE
2013-05-19,0.0,LTE
2013-05-20,4.0,LTE
2013-05-21,1.0,LTE
2013-05-22,1.0,LTE
2013-05-23,2.0,LTE
2013-05-24,0.0,LTE
2013-05-25,2.0,LTE
2013-05-26,3.0,LTE
2013-05-27,3.0,LTE
2013-05-28,9.0,LTE
2013-05-29,2.0,LTE
2013-05-30,1.0,LTE
2013-05-31,2.0,LTE
2013-06-01,1.0,LTE
2013-06-02,2.0,LTE
2013-06-03,3.0,LTE
2013-06-04,3.0,LTE
2013-06-05,1.0,LTE
2013-06-06,0.0,LTE
2013-06-07,1.0,LTE
2013-06-08,0.0,LTE
2013-06-09,0.0,LTE
2013-06-10,3.0,LTE
2013-06-11,2.0,LTE
2013-06-12,1.0,LTE
2013-06-13,1.0,LTE
2013-06-14,1.0,LTE
2013-06-15,1.0,LTE
2013-06-16,1.0,LTE
2013-06-17,2.0,LTE
2013-06-18,2.0,LTE
2013-06-19,1.0,LTE
2013-06-20,0.0,LTE
2013-06-21,0.0,LTE
2013-06-22,3.0,LTE
2013-06-23,2.0,LTE
2013-06-24,6.0,LTE
2013-06-25,2.0,LTE
2013-06-26,0.0,LTE
2013-06-27,1.0,LTE
2013-06-28,1.0,LTE
2013-06-29,0.0,LTE
2013-06-30,1.0,LTE
2013-07-01,4.0,LTE
2013-07-02,3.0,LTE
2013-07-03,5.0,LTE
2013-07-04,1.0,LTE
2013-07-05,2.0,LTE
2013-07-06,1.0,LTE
2013-07-07,2.0,LTE
2013-07-08,7.0,LTE
2013-07-09,1.0,LTE
2013-07-10,0.0,LTE
2013-07-11,1.0,LTE
2013-07-12,0.0,LTE
2013-07-13,1.0,LTE
2013-07-14,2.0,LTE
2013-07-15,3.0,LTE
2013-07-16,1.0,LTE
2013-07-17,2.0,LTE
2013-07-18,3.0,LTE
2013-07-19,2.0,LTE
2013-07-20,1.0,LTE
2013-07-21,0.0,LTE
2013-07-22,7.0,LTE
2013-07-23,1.0,LTE
2013-07-24,1.0,LTE
2013-07-25,1.0,LTE
2013-07-26,0.0,LTE
2013-07-27,1.0,LTE
2013-07-28,0.0,LTE
2013-07-29,10.0,LTE
2013-07-30,5.0,LTE
2013-07-31,1.0,LTE
2013-08-01,1.0,LTE
2013-08-02,2.0,LTE
2013-08-03,0.0,LTE
2013-08-04,2.0,LTE
2013-08-05,2.0,LTE
2013-08-06,4.0,LTE
2013-08-07,0.0,LTE
2013-08-08,1.0,LTE
2013-08-09,2.0,LTE
2013-08-10,4.0,LTE
2013-08-11,0.0,LTE
2013-08-12,8.0,LTE
2013-08-13,2.0,LTE
2013-08-14,0.0,LTE
2013-08-15,0.0,LTE
2013-08-16,1.0,LTE
2013-08-17,2.0,LTE
2013-08-18,1.0,LTE
2013-08-19,7.0,LTE
2013-08-20,2.0,LTE
2013-08-21,0.0,LTE
2013-08-22,2.0,LTE
2013-08-23,1.0,LTE
2013-08-24,1.0,LTE
2013-08-25,1.0,LTE
2013-08-26,8.0,LTE
2013-08-27,2.0,LTE
2013-08-28,1.0,LTE
2013-08-29,1.0,LTE
2013-08-30,1.0,LTE
2013-08-31,0.0,LTE
2013-09-01,4.0,LTE
2013-09-02,1.0,LTE
2013-09-03,3.0,LTE
2013-09-04,6.0,LTE
2013-09-05,6.0,LTE
2013-09-06,2.0,LTE
2013-09-07,1.0,LTE
2013-09-08,1.0,LTE
2013-09-09,4.0,LTE
2013-09-10,4.0,LTE
2013-09-11,1.0,LTE
2013-09-12,0.0,LTE
2013-09-13,2.0,LTE
2013-09-14,4.0,LTE
2013-09-15,1.0,LTE
2013-09-16,7.0,LTE
2013-09-17,2.0,LTE
2013-09-18,0.0,LTE
2013-09-19,1.0,LTE
2013-09-20,0.0,LTE
2013-09-21,1.0,LTE
2013-09-22,1.0,LTE
2013-09-23,10.0,LTE
2013-09-24,2.0,LTE
2013-09-25,2.0,LTE
2013-09-26,2.0,LTE
2013-09-27,0.0,LTE
2013-09-28,2.0,LTE
2013-09-29,2.0,LTE
2013-09-30,8.0,LTE
2013-10-01,3.0,LTE
2013-10-02,2.0,LTE
2013-10-03,3.0,LTE
2013-10-04,3.0,LTE
2013-10-05,1.0,LTE
2013-10-06,2.0,LTE
2013-10-07,14.0,LTE
2013-10-08,4.0,LTE
2013-10-09,2.0,LTE
2013-10-10,2.0,LTE
2013-10-11,2.0,LTE
2013-10-12,4.0,LTE
2013-10-13,3.0,LTE
2013-10-14,13.0,LTE
2013-10-15,5.0,LTE
2013-10-16,4.0,LTE
2013-10-17,6.0,LTE
2013-10-18,2.0,LTE
2013-10-19,3.0,LTE
2013-10-20,2.0,LTE
2013-10-21,12.0,LTE
2013-10-22,5.0,LTE
2013-10-23,3.0,LTE
2013-10-24,3.0,LTE
2013-10-25,4.0,LTE
2013-10-26,1.0,LTE
2013-10-27,3.0,LTE
2013-10-28,9.0,LTE
2013-10-29,11.0,LTE
2013-10-30,6.0,LTE
2013-10-31,3.0,LTE
2013-11-01,0.0,LTE
2013-11-02,3.0,LTE
2013-11-03,3.0,LTE
2013-11-04,10.0,LTE
2013-11-05,5.0,LTE
2013-11-06,0.0,LTE
2013-11-07,0.0,LTE
2013-11-08,1.0,LTE
2013-11-09,2.0,LTE
2013-11-10,2.0,LTE
2013-11-11,12.0,LTE
2013-11-12,6.0,LTE
2013-11-13,1.0,LTE
2013-11-14,1.0,LTE
2013-11-15,2.0,LTE
2013-11-16,3.0,LTE
2013-11-17,2.0,LTE
2013-11-18,3.0,LTE
2013-11-19,5.0,LTE
2013-11-20,1.0,LTE
2013-11-21,0.0,LTE
2013-11-22,1.0,LTE
2013-11-23,5.0,LTE
2013-11-24,2.0,LTE
2013-11-25,5.0,LTE
2013-11-26,4.0,LTE
2013-11-27,1.0,LTE
2013-11-28,2.0,LTE
2013-11-29,0.0,LTE
2013-11-30,4.0,LTE
2013-12-01,6.0,LTE
2013-12-02,8.0,LTE
2013-12-03,4.0,LTE
2013-12-04,0.0,LTE
2013-12-05,1.0,LTE
2013-12-06,1.0,LTE
2013-12-07,1.0,LTE
2013-12-08,1.0,LTE
2013-12-09,6.0,LTE
2013-12-10,1.0,LTE
2013-12-11,1.0,LTE
2013-12-12,1.0,LTE
2013-12-13,0.0,LTE
2013-12-14,0.0,LTE
2013-12-15,1.0,LTE
2013-12-16,8.0,LTE
2013-12-17,4.0,LTE
2013-12-18,1.0,LTE
2013-12-19,0.0,LTE
2013-12-20,0.0,LTE
2013-12-21,1.0,LTE
2013-12-22,1.0,LTE
2013-12-23,3.0,LTE
2013-12-24,3.0,LTE
2013-12-25,2.0,LTE
2013-12-26,2.0,LTE
2013-12-27,1.0,LTE
2013-12-28,0.0,LTE
2013-12-29,5.0,LTE
2013-12-30,7.0,LTE
2013-12-31,2.0,LTE
2014-01-01,2.0,LTE
2014-01-02,8.0,LTE
2014-01-03,3.0,LTE
2014-01-04,1.0,LTE
2014-01-05,4.0,LTE
2014-01-06,3.0,LTE
2014-01-07,1.0,LTE
2014-01-08,1.0,LTE
2014-01-09,2.0,LTE
2014-01-10,2.0,LTE
2014-01-11,1.0,LTE
2014-01-12,0.0,LTE
2014-01-13,5.0,LTE
2014-01-14,1.0,LTE
2014-01-15,0.0,LTE
2014-01-16,0.0,LTE
2014-01-17,0.0,LTE
